min,avg,max
76,84,112
70,72.57142857142857,76
71,73.16666666666667,76
68,72,79
65,71,77
75,77.66666666666667,85
84,99.16666666666667,109
72,77.33333333333333,82
71,74.66666666666667,79
75,79.57142857142857,85
66,103.71428571428571,132
78,112.25,129
77,80.4,84
73,79.14285714285714,94
72,81.42857142857143,97
76,78.5,81
73,76.6,81
75,77.2,80
78,81.16666666666667,86
79,83.33333333333333,87
76,80.16666666666667,84
77,78.8,80
82,90.66666666666667,102
72,100.875,126
71,86.85714285714286,106
77,101.5,150
77,90.66666666666667,122
72,85.16666666666667,116
79,84,92
77,80,85
78,82.33333333333333,87
80,82.33333333333333,84
79,81.5,85
77,82.8,90
76,80.16666666666667,84
77,82.16666666666667,88
78,81.4,85
74,79,84
78,80.33333333333333,84
80,85.2,90
78,84.16666666666667,92
78,88,100
76,78.66666666666667,82
77,84.33333333333333,90
81,82.66666666666667,85
72,78.71428571428571,87
77,79,82
81,82.83333333333333,84
80,83.83333333333333,87
78,83.16666666666667,88
83,90.5,100
